Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2023-0187;Sugerencia;Contestado;2023-03-06;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Plazos procedimiento administrativo para la renovación de la acreditación para el trabajo con animales de experimentación
2023-0183;Queja;Inadmitida;2023-03-05;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Inadmitida al no tratarse de una queja sino de un recurso de reposición. Se le comunica al interesado mediante correo electrónico de fecha 6 de marzo de 2023
2023-0180;Queja;Contestado;2023-03-03;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Preocupación por el estado del firme de la carretera CL-601 de La Granja a Navacerrada
2023-0181;Queja;Contestado;2023-03-03;WEB;CONSEJERIA DE EDUCACION;AVILA;Madrugadores colegio La Encarnación
2023-0182;Queja;Inadmitida;2023-03-03;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0174;Queja;Anulada;2023-03-02;OAMR;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;
2023-0175;Queja;Contestado;2023-03-02;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Asignación de teletrabajo
2023-0178;Queja;Contestado;2023-03-02;OAMR;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;
2023-0176;Queja;Contestado;2023-03-02;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;No funcionamiento de los formularios teletramitables usando los ordenadores Apple
2023-0177;Queja;Contestado;2023-03-02;WEB;CONSEJERIA DE EDUCACION;BURGOS;Inexistencia de recursos
2023-0179;Sugerencia Interna;Contestado;2023-03-02;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Retransmisión de los actos de la ECLAP en streaming
2023-0173;Queja;Contestado;2023-03-01;OAMR;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;PALENCIA;Queja sobre presentación documentos
2023-0172;Queja;Contestado;2023-03-01;WEB;GERENCIA DE SERVICIOS SOCIALES;AVILA;Retraso en la renovación libro de familia numerosa
2023-0169;Queja;Contestado;2023-02-28;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;Cafeteria ESAUM
2023-0170;Queja;Remitido Órgano;2023-02-28;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Requiere volver al registro de ventanilla por el mal funcionamiento informático
2023-0171;Sugerencia Interna;Contestado;2023-02-28;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Modificación horario laboral para conciliación familiar
2023-0164;Queja;Contestado;2023-02-27;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Trato inadecuado
2023-0165;Queja;Contestado;2023-02-27;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Trato inadecuado
2023-0166;Queja;Contestado;2023-02-27;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Particulas metálicas en agua marca Carrizal II
2023-0167;Queja;Inadmitida;2023-02-27;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SALAMANCA;
2023-0168;Sugerencia;Contestado;2023-02-27;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere la construcción de una nueva estación de autobuses o la remodelación de la actual
2023-0163;Queja;Contestado;2023-02-26;WEB;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;El interesado se queja porque no se ha puesto en marcha un expediente sancionador del Convento de la Hoz
2023-0162;Queja;Contestado;2023-02-26;WEB;GERENCIA REGIONAL DE SALUD;BURGOS;Falta de contestación de quejas presentadas anteriormente
2023-0161;Queja;Contestado;2023-02-24;LIBRO;EPDP - INSTITUTO TECNOLOGICO AGRARIO;LEÓN;Cita telemática
2023-0158;Queja;Contestado;2023-02-23;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Falta de punto limpio en Navahondilla
2023-0159;Queja;Contestado;2023-02-23;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Solicitud autorización quema
2023-0160;Queja;Contestado;2023-02-23;ESCRITO;SERVICIO PUBLICO DE EMPLEO;SEGOVIA;La interesada comenta que no ha recibido el certificado de profesionalidad habiendo abonado la tasa correspondiente, y quiere que se le devuelva la misma por no tener ese certificado
2023-0157;Queja;Contestado;2023-02-23;ESCRITO;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;
2023-0156;Queja;Contestado;2023-02-22;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;"Periodico ""secuestrado"""
2023-0155;Queja;Contestado;2023-02-22;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por falta de personación en lugar de siniestro con vehículo tras llamada al 112
2023-0154;Queja;Contestado;2023-02-22;WEB;CONSEJERIA DE EDUCACION;LEÓN;Carencia de personal en el colegio de Cubillos del Sil
2023-0151;Queja;Contestado;2023-02-21;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Cambio de criterio y de normativa en admisión de infantil
2023-0153;Queja;Contestado;2023-02-21;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;La interesada se queja porque la excluyen del concurso porque no se ven los sellos escaneados por tener poca tinta y ser muy tenues
2023-0152;Queja;Contestado;2023-02-21;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;Queja sobre el estado de conservación de la cañada de ganado
2023-0150;Queja;Inadmitida;2023-02-20;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;LEÓN;Carretera NO titularidad JCyL
2023-0149;Queja;Contestado;2023-02-20;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;No hay persona para que haga la inscripción en el ROMA
2023-0148;Queja;Contestado;2023-02-20;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Deuda Renta Garantizada de Ciudadanía
2023-0147;Queja;Contestado;2023-02-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Reclamando respuesta a escritos  así como a e-mail
2023-0146;Sugerencia;Contestado;2023-02-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Mal estado BU-550
2023-0141;Queja;Anulada;2023-02-17;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Pendiente respuestas escritos  en relación con acceso por pista en vehículo
2023-0142;Queja;Contestado;2023-02-17;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Modificación del procedimiento de elección de permisos AREC para poder incluir 2 personas por cada una
2023-0143;Queja;Contestado;2023-02-17;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por los navegadores que se pueden utilizar en el pago modelo 046 de forma telemática
2023-0144;Queja;Contestado;2023-02-17;WEB;GERENCIA REGIONAL DE SALUD;VALLADOLID;
2023-0145;Queja;Contestado;2023-02-17;ESCRITO;SERVICIO PUBLICO DE EMPLEO;ZAMORA;Mal trato por parte del personal del servicio de contratación de la oficina de empleo público  de Zamora
2023-0137;Queja;Contestado;2023-02-16;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Conservación de carreteras. Mal estado del asfalto de la rotonda de entrada al barrio de Villalonquejar
2023-0138;Queja;Contestado;2023-02-16;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Conservación de carreteras
2023-0139;Queja;Contestado;2023-02-16;LIBRO;GERENCIA REGIONAL DE SALUD;ZAMORA;Problema en el registro de documentación
2023-0140;Queja;Contestado;2023-02-16;LIBRO;GERENCIA REGIONAL DE SALUD;ZAMORA;Problema en el registro de documentación
2023-0135;Queja;Inadmitida;2023-02-15;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;
2023-0136;Sugerencia;Contestado;2023-02-15;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;En los avisos de notificación debería figurar algún dato descriptivo de la empresa
2023-0134;Queja;Inadmitida;2023-02-14;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SEGOVIA;
2023-0132;Queja;Contestado;2023-02-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Normativa uso rampas en autobuses
2023-0133;Sugerencia Interna;Contestado;2023-02-13;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0129;Queja;Contestado;2023-02-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Demora en contestación
2023-0130;Queja;Contestado;2023-02-13;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por la falta de emisión de certificado de servicios prestados
2023-0131;Queja;Contestado;2023-02-13;Servicio 012;CONSEJERIA DE EDUCACION;BURGOS;Falta de medidas de seguridad bus escolar
2023-0127;Queja;Anulada;2023-02-10;OAMR;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Anulada la queja a petición del ciudadano
2023-0128;Queja;Contestado;2023-02-10;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Educación a distancia de FP desarrollo de aplicaciones wab
2023-0123;Queja;Contestado;2023-02-09;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0124;Queja;Contestado;2023-02-09;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;La interesada se queja de la ratio del Programa de éxito educativo
2023-0126;Sugerencia;Contestado;2023-02-09;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Ambientadores
2023-0121;Queja;Contestado;2023-02-09;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0122;Queja;Contestado;2023-02-09;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Club de los 60
2023-0125;Queja;Inadmitida;2023-02-09;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;VALLADOLID;
2023-0118;Queja;Contestado;2023-02-08;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Desacuerdo con información facilitada y trato
2023-0119;Queja;Contestado;2023-02-08;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Solicitud arreglo integral carretera LE-441 a su paso por San Andrés del Rabanedo
2023-0120;Queja;Contestado;2023-02-08;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por la necesidad de cita previa para liquidar impuesto, por la atención recibida y por exigir cierta documentación
2023-0113;Queja;Contestado;2023-02-07;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Considera de mala calidad la comida ofrecida en el comedor escolar
2023-0114;Queja;Contestado;2023-02-07;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0115;Queja;Contestado;2023-02-07;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Iluminación mala
2023-0116;Sugerencia;Contestado;2023-02-07;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;La interesada sugiere cambiar el servicio de comedor del CRA de Ayllón por la perdida de calidad del existente
2023-0117;Sugerencia;Contestado;2023-02-07;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Propuesta para inscripción en talleres
2023-0109;Queja;Contestado;2023-02-06;LIBRO;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Atención registro Presidencia
2023-0111;Queja;Inadmitida;2023-02-06;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0105;Queja;Anulada;2023-02-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;Anulada por ser una queja igual a otra
2023-0106;Queja;Anulada;2023-02-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;Anulada por ser una queja igual a otra
2023-0107;Queja;Anulada;2023-02-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;Anulada por ser una queja igual a otra
2023-0108;Queja;Contestado;2023-02-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;La interesada alega por la puesta en funcionamiento de una planta de hormigón en Aldealuenga de Pedraza
2023-0110;Queja;Contestado;2023-02-06;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Robótica
2023-0112;Sugerencia Interna;Contestado;2023-02-06;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Documento de mejoras propuestas por los telefonistas del edificio ESAUM II
2023-0102;Queja;Contestado;2023-02-03;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;"La interesada se queja del estado lamentable de la CL-607 entre el cruce con la CL-605 con acceso al punto limpio ""El Peñigoso"""
2023-0103;Queja;Contestado;2023-02-03;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;
2023-0104;Queja;Contestado;2023-02-03;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja del mal funcionamiento de la calefacción
2023-0101;Sugerencia;Contestado;2023-02-02;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Medicación farmacia rural
2023-0099;Queja;Contestado;2023-02-02;Servicio 012;CONSEJERIA DE EDUCACION;LEÓN;Falta de calefacción del Colegio
2023-0100;Sugerencia;Anulada;2023-02-02;WEB;CONSEJERIA DE LA PRESIDENCIA;AVILA;Es una prueba. No es una sugerencia
2023-0097;Queja;Contestado;2023-01-31;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja del mal funcionamiento de la calefacción
2023-0098;Queja;Contestado;2023-01-31;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja de frio por estar averiada la calefacción
2023-0094;Queja;Contestado;2023-01-31;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Conciliamos Navidad, Carnaval y Semana Santa sólo disponible un centro educativo
2023-0095;Queja;Contestado;2023-01-31;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;Desacuerdo con reparto de ayudas y subvenciones
2023-0096;Queja;Contestado;2023-01-31;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Defectos en las subvenciones para la ampliación y diversificación de la oferta cultural en áreas no urbanas de Castilla y León
2023-0093;Sugerencia Interna;Contestado;2023-01-30;BUZON;CONSEJERIA DE ECONOMIA Y HACIENDA;SEGOVIA;La interesada quiere que se pongan puntos de agua mediante fuentes o depósitos de toma de agua
2023-0092;Queja;Contestado;2023-01-30;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Atención telefónica deficiente Función Pública
2023-0090;Queja;Anulada;2023-01-29;WEB;CONSEJERIA DE SANIDAD;SEGOVIA;Anulada por ser una queja igual a otra
2023-0091;Queja;Contestado;2023-01-29;WEB;CONSEJERIA DE SANIDAD;SEGOVIA;El interesado se queja porque  no dispone de agua potable para consumo humano
2023-0082;Queja;Contestado;2023-01-27;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja del mal estado de la carretera
2023-0084;Queja;Contestado;2023-01-27;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-0085;Queja;Contestado;2023-01-27;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;Reclamación Escuelas Taller/Programa Mixto Ayto. Arévalo
2023-0087;Queja;Contestado;2023-01-27;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Mejora del wifi
2023-0088;Queja;Inadmitida;2023-01-27;WEB;;SALAMANCA;
2023-0083;Queja;Contestado;2023-01-27;ESCRITO;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;
2023-0086;Queja;Contestado;2023-01-27;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;Reclamación Escuelas Taller/Programa Mixto Ayto. Arévalo
2023-0089;Sugerencia;Anulada;2023-01-27;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;
2023-0077;Queja;Contestado;2023-01-26;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Falta contestación a solicitud
2023-0080;Queja;Contestado;2023-01-26;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-0081;Queja;Remitido Órgano;2023-01-26;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Falta de contestación sobre deslinde de Cañada Real Leonesa
2023-0078;Queja;Contestado;2023-01-26;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0079;Queja;Contestado;2023-01-26;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;VALLADOLID;
2023-0074;Queja;Contestado;2023-01-25;ESCRITO;CONSEJERIA DE EDUCACION;SORIA;Falta de educación y respeto de profesora a alumna
2023-0076;Sugerencia;Remitido a Cons/DT;2023-01-25;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;
2023-0070;Queja;Anulada;2023-01-25;WEB;CONSEJERIA DE EDUCACION;LEÓN;Anulada por ser una queja igual a otra
2023-0071;Queja;Contestado;2023-01-25;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Plazo solicitudes procesos estabilización
2023-0072;Queja;Contestado;2023-01-25;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Eleva a la DG la reclamación ya presentada
2023-0075;Sugerencia;Contestado;2023-01-25;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Respuesta a otra queja
2023-0073;Queja;Contestado;2023-01-25;ESCRITO;SERVICIO PUBLICO DE EMPLEO;SEGOVIA;La interesada se queja de la poca inoformación que se da para poder apuntarse a las escuelas taller
2023-0064;Queja;Contestado;2023-01-24;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;VALLADOLID;
2023-0065;Queja;Contestado;2023-01-24;ESCRITO;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja del mal estado de la carretera
2023-0067;Queja;Contestado;2023-01-24;WEB;SERVICIO PUBLICO DE EMPLEO;AVILA;Medios de Comunicació llamamientos a cursos
2023-0068;Queja;Contestado;2023-01-24;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Trato inadecuado en la Biblioteca Publica de Castilla y León
2023-0069;Queja;Remitido Órgano;2023-01-24;Servicio 012;CONSEJERIA DE EDUCACION;LEÓN;Profesor física y química no se presenta al trabajo con mucha habitualidad
2023-0066;Queja;Contestado;2023-01-24;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Atención servicio telefónico
2023-0060;Queja;Contestado;2023-01-23;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Conservación de carreteras
2023-0058;Queja;Anulada;2023-01-23;WEB;GERENCIA REGIONAL DE SALUD;AVILA;Anulada por ser una queja igual a otra
2023-0063;Queja;Prestacional;2023-01-23;WEB;GERENCIA REGIONAL DE SALUD;AVILA;
2023-0059;Queja;Contestado;2023-01-23;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El interesado se queja del transporte escolar
2023-0061;Queja;Contestado;2023-01-23;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Operatividad formulario quejas y sugerencias
2023-0062;Queja;Contestado;2023-01-23;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Pinos mal estado, peligro de caída.
2023-0057;Queja;Contestado;2023-01-22;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2023-0055;Sugerencia;Contestado;2023-01-21;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Plan medidas León, Zamora y Salamanca
2023-0056;Sugerencia;Inadmitida;2023-01-21;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0053;Queja;Inadmitida;2023-01-21;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0054;Sugerencia;Anulada;2023-01-21;WEB;;SERVICIOS CENTRALES;Anulada por ser prueba
2023-0052;Queja;Contestado;2023-01-20;ESCRITO;GERENCIA REGIONAL DE SALUD;ZAMORA;Solicita más personal para atender al público
2023-0050;Queja;Contestado;2023-01-20;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por las dificultades para tramitar un impuesto de sucesiones y por el trato recibido
2023-0051;Queja;Contestado;2023-01-20;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Registro
2023-0049;Sugerencia;Inadmitida;2023-01-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;
2023-0048;Queja;Remitido Órgano;2023-01-19;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;No la acreditan para impartir asignatura de psicología en secundaria
2023-0043;Queja;Contestado;2023-01-18;WEB;SERVICIO PUBLICO DE EMPLEO;AVILA;Inclusión preselección para puestos de trabajo
2023-0045;Queja;Contestado;2023-01-18;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Normas incumplidas
2023-0042;Queja;Contestado;2023-01-18;OAMR;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-0046;Sugerencia;Contestado;2023-01-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Solicita paso de peatones en CL-517
2023-0044;Queja;Contestado;2023-01-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Mal estado de la carretera por inclemencias meteorológicas
2023-0047;Sugerencia;Contestado;2023-01-18;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Página PAC
2023-0041;Sugerencia;Contestado;2023-01-17;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Supresión citas previas
2023-0038;Queja;Contestado;2023-01-16;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Falta se asistencia en materia de registro en la oficina
2023-0040;Queja;Contestado;2023-01-16;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;BURGOS;Accesibilidad Museo
2023-0039;Queja;Contestado;2023-01-16;WEB;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Falta de información a los familiares sobre un residente en  Residencia
2023-0036;Queja;Contestado;2023-01-15;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Barandilla en la rampa
2023-0037;Sugerencia;Contestado;2023-01-15;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Ampliación de señalización de localidades
2023-0035;Queja;Contestado;2023-01-15;ESCRITO;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Protección de datos personales
2023-0033;Sugerencia;Anulada;2023-01-14;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Competencias Servicios Centrales
2023-0034;Sugerencia;Contestado;2023-01-14;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Cambio del formato de licencia de pesca de papel a plástico de origen reciclado
2023-0032;Queja;Contestado;2023-01-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Desacuerdo con la actuación
2023-0031;Queja;Contestado;2023-01-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Desacuerdo con la actuación
2023-0027;Queja;Contestado;2023-01-12;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Falta transparencia
2023-0028;Queja;Contestado;2023-01-12;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0029;Queja;Contestado;2023-01-12;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Incumplimiento horarios festejo
2023-0030;Sugerencia;Remitido Órgano;2023-01-12;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Quiere saber con quien hablar sobre su aplicación
2023-0025;Queja;Anulada;2023-01-11;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;Anulada por ser una queja igual a otra
2023-0026;Queja;Contestado;2023-01-11;WEB;SERVICIO PUBLICO DE EMPLEO;PALENCIA;Mal funcionamiento teléfono y página web del Servicio de Empleo
2023-0021;Queja;Contestado;2023-01-10;Servicio 012;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Divergencia en la interpretación de la obligación de teletramitar una solicitud
2023-0024;Sugerencia;Contestado;2023-01-10;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Creación de tramitación telemática del proceso para la quema de restos vegetales indicado
2023-0022;Queja;Contestado;2023-01-10;ESCRITO;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Queja por el estado del colegio del pueblo.
2023-0023;Sugerencia;Contestado;2023-01-10;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;No se pueden cumplimentar los formularios correctamentes
2023-0019;Queja;Anulada;2023-01-10;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;Anulada por ser una queja igual a otra
2023-0020;Queja;Anulada;2023-01-10;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;Anulada por ser una queja igual a otra
2023-0018;Queja;Contestado;2023-01-09;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;La interesada se queja de no obtener respuesta una petición de certificado de servicios
2023-0017;Queja;Contestado;2023-01-09;WEB;CONSEJERIA DE SANIDAD;PALENCIA;Queja temperatura del agua del centro privado de deporte la Lanera
2023-0016;Queja;Contestado;2023-01-09;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Trato incorrecto e informacion deficiente
2023-0015;Queja;Contestado;2023-01-06;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Imposibilidad de acceso a la sala de musculación
2023-0014;Queja;Anulada;2023-01-06;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Anulada por ser una queja igual a otra
2023-0013;Queja;Contestado;2023-01-05;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;MOGA
2023-0010;Queja;Contestado;2023-01-04;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Queja por la aplicación para la bolsa de secretarios de ayuntamiento
